date,consumer_discretionary_avg,consumer_staples_avg,energy_avg,financials_avg,health_care_avg,industrials_avg,information_technology_avg,materials_avg,real_estate_avg,telecommunication_services_avg,utilities_avg
2011-04-13,59.41706085205078,50.08645248413086,70.27448272705078,49.19491958618164,60.96210479736328,58.14967346191406,61.38162612915039,64.50173950195312,54.085453033447266,33.93499755859375,34.811073303222656
2011-04-14,59.34385299682617,50.274837493896484,70.61275482177734,48.83158874511719,61.03092956542969,58.095245361328125,61.2585334777832,64.58304595947266,54.77818298339844,34.0,34.96214294433594
2011-04-15,59.71797180175781,50.56483840942383,71.1775894165039,49.029205322265625,61.43929672241211,58.465736389160156,60.52412796020508,64.79826354980469,55.41121292114258,34.25,35.36464309692383
2011-04-18,59.305606842041016,50.18064498901367,70.01310729980469,48.37793731689453,60.61193084716797,57.61737823486328,60.03079605102539,64.1913070678711,54.8378791809082,33.810001373291016,35.03392791748047
2011-04-19,59.494117736816406,50.256126403808594,70.74723815917969,48.26682662963867,61.08982467651367,58.09000015258789,60.281429290771484,65.14956665039062,55.30424118041992,33.775001525878906,35.077857971191406
2011-04-20,60.71148681640625,50.54999923706055,72.37586212158203,48.77698516845703,61.87173843383789,58.91819763183594,61.71825408935547,65.95086669921875,55.9466667175293,33.959999084472656,35.458927154541016
2011-04-21,60.93946075439453,50.58741760253906,72.6220703125,49.22365188598633,62.35789489746094,59.29557418823242,62.268348693847656,66.54261016845703,56.228485107421875,33.79499816894531,35.52214431762695
2011-04-25,60.78662109375,50.25645065307617,72.2162094116211,49.006507873535156,61.983158111572266,59.170982360839844,62.26029968261719,66.48477935791016,56.60151672363281,33.77000045776367,35.57392883300781
2011-04-26,60.572975158691406,50.680320739746094,72.94999694824219,49.40285873413086,62.902984619140625,60.1591796875,62.207462310791016,67.03826141357422,57.11302947998047,34.28499984741211,35.87428665161133
2011-04-27,61.15729904174805,51.06032180786133,72.78723907470703,49.65003204345703,63.916316986083984,60.22819519042969,62.695159912109375,66.92304229736328,57.56636428833008,34.834999084472656,36.156070709228516
2011-04-28,61.4412841796875,51.43387222290039,72.85896301269531,49.83952331542969,64.12193298339844,60.23918151855469,62.538414001464844,66.9660873413086,58.33363723754883,34.81999969482422,36.387855529785156
2011-04-29,61.34243392944336,51.52613067626953,74.12310028076172,49.64452362060547,63.8980712890625,60.58803176879883,62.772220611572266,67.45304107666016,58.038333892822266,34.45000076293945,36.47428512573242
2011-05-02,61.514930725097656,51.54096984863281,73.07793426513672,49.48622131347656,64.54193115234375,60.42835998535156,62.539794921875,67.0247802734375,58.00151443481445,34.38500213623047,36.50785827636719
2011-05-03,60.94851303100586,51.32935333251953,71.01654815673828,49.37364959716797,64.1443862915039,60.07573699951172,62.186031341552734,65.94739532470703,57.723331451416016,34.83000183105469,36.75285720825195
2011-05-04,60.86594772338867,51.22999954223633,69.37137603759766,48.90468215942383,63.66403579711914,59.232295989990234,61.88492202758789,65.00130462646484,57.409698486328125,34.72999954223633,36.65964126586914
2011-05-05,61.08540344238281,50.92290496826172,67.94137573242188,48.38833236694336,63.16965103149414,59.223114013671875,61.530792236328125,64.51130676269531,57.40151596069336,34.16999816894531,36.40928649902344
2011-05-06,60.93014144897461,51.042259216308594,68.3031005859375,48.776031494140625,63.734737396240234,59.70294952392578,61.77777862548828,65.22087097167969,57.0099983215332,34.27000045776367,36.61642837524414
2011-05-09,61.246891021728516,51.44871139526367,69.93620300292969,49.50444412231445,64.46403503417969,59.94868850708008,62.18872833251953,66.06260681152344,57.39878845214844,34.29500198364258,36.691429138183594
2011-05-10,61.96040725708008,51.79999923706055,70.37034606933594,50.00984191894531,64.97754669189453,60.4698371887207,62.847618103027344,66.65087127685547,58.262725830078125,34.630001068115234,37.2014274597168
2011-05-11,61.70824432373047,51.5612907409668,68.08551788330078,49.489524841308594,64.60087585449219,59.76704788208008,62.36650848388672,65.43478393554688,57.63818359375,34.31999969482422,37.09000015258789
2011-05-12,62.28459548950195,52.42032241821289,67.87862396240234,49.6223030090332,65.13350677490234,59.82770538330078,62.932621002197266,65.12738800048828,57.569698333740234,34.53499984741211,37.39285659790039
2011-05-13,61.986351013183594,52.294517517089844,67.70413970947266,48.97968292236328,64.7428970336914,59.130001068115234,62.30904769897461,64.38434600830078,57.055152893066406,34.334999084472656,37.1974983215332
2011-05-16,60.877498626708984,52.24354934692383,66.95724487304688,49.08174514770508,64.51736450195312,58.907047271728516,61.26398468017578,64.3026123046875,57.20060729980469,34.01499938964844,37.146427154541016
2011-05-17,60.72797393798828,52.40032196044922,66.96827697753906,49.11809539794922,64.31473541259766,58.25508117675781,61.399681091308594,63.936954498291016,57.19818115234375,34.1150016784668,37.360713958740234
2011-05-18,61.72526931762695,52.44709777832031,68.34620666503906,49.50396728515625,65.04491424560547,59.00114822387695,62.027381896972656,65.27825927734375,57.77257537841797,34.14500045776367,37.263214111328125
2011-05-19,61.802162170410156,52.698387145996094,68.1551742553711,49.72380828857422,65.07807159423828,59.295326232910156,62.17277908325195,65.38086700439453,57.90909194946289,34.36000061035156,37.355712890625
2011-05-20,61.09351348876953,52.53064727783203,68.3920669555664,49.14396667480469,64.54850769042969,58.74983596801758,61.966983795166016,64.75347900390625,57.35075759887695,34.23500061035156,37.349998474121094
2011-05-23,60.42634963989258,52.14677429199219,67.17344665527344,48.52619171142578,62.82105255126953,57.32016372680664,61.032222747802734,64.45956420898438,56.70939254760742,33.96500015258789,36.8553581237793
2011-05-24,60.23662185668945,52.09774398803711,68.11103820800781,48.2495231628418,62.44877243041992,57.023441314697266,60.824302673339844,64.5478286743164,56.98878860473633,34.029998779296875,36.78714370727539
2011-05-25,60.34756851196289,51.704193115234375,69.38069152832031,48.229522705078125,62.62228012084961,57.45917892456055,61.38958740234375,65.30912780761719,57.27287673950195,33.70000076293945,36.73285675048828
2011-05-26,61.15351486206055,51.90483856201172,69.6165542602539,48.37746047973633,62.898948669433594,57.605247497558594,61.983333587646484,65.47652435302734,57.944847106933594,33.86000061035156,36.744998931884766
2011-05-27,61.3863525390625,52.12129211425781,69.9858627319336,48.648094177246094,62.96947479248047,57.8709831237793,62.30635070800781,66.35391235351562,58.150909423828125,33.97999954223633,36.778926849365234
2011-05-31,61.704933166503906,52.710968017578125,70.68103790283203,49.12508010864258,63.500526428222656,58.48377227783203,63.13666534423828,67.02086639404297,59.08393859863281,34.244998931884766,37.03285598754883
2011-06-01,60.469932556152344,52.09677505493164,68.97344970703125,47.545387268066406,62.54647445678711,56.562705993652344,61.89169692993164,65.09869384765625,57.48757553100586,33.720001220703125,36.628570556640625
2011-06-02,60.23754119873047,50.199676513671875,69.16310119628906,47.68619155883789,62.55543899536133,56.88803482055664,62.1851921081543,64.9752197265625,57.245758056640625,33.56999969482422,36.495357513427734
2011-06-03,59.48432540893555,49.68193435668945,69.0865478515625,47.079681396484375,61.8593864440918,56.11000061035156,61.26439666748047,64.07130432128906,57.28545379638672,33.13999938964844,36.19464111328125
2011-06-06,58.80986404418945,49.50257873535156,67.35482788085938,46.257144927978516,61.30078887939453,55.7145881652832,60.54241943359375,63.22174072265625,56.56666564941406,32.78499984741211,35.98928451538086
2011-06-07,58.862430572509766,49.47483825683594,67.2162094116211,46.26856994628906,61.640350341796875,55.712459564208984,60.60611343383789,63.482608795166016,57.2587890625,32.845001220703125,36.05356979370117
2011-06-08,58.381622314453125,49.454193115234375,67.36862182617188,45.867618560791016,61.54438781738281,55.156558990478516,60.033729553222656,63.109130859375,57.01121139526367,33.12000274658203,36.091426849365234
2011-06-09,58.92837905883789,49.776451110839844,68.277587890625,46.470951080322266,61.99052810668945,55.50246047973633,60.130714416503906,64.22217559814453,56.61424255371094,33.0,36.08714294433594
2011-06-10,57.88493347167969,49.2022590637207,66.94413757324219,46.0340461730957,61.00535202026367,54.59918212890625,59.207176208496094,63.30739212036133,55.391212463378906,32.76499938964844,35.87821578979492
2011-06-13,57.89472961425781,49.45677185058594,65.68793487548828,46.335872650146484,61.00008773803711,54.67491912841797,58.959205627441406,62.9830436706543,55.53333282470703,33.09000015258789,35.997501373291016
2011-06-14,58.782161712646484,49.975807189941406,67.05482482910156,46.87922286987305,61.86552429199219,55.75040817260742,59.813140869140625,64.30086517333984,56.29999923706055,33.185001373291016,36.17250061035156
2011-06-15,57.97999954223633,49.267417907714844,65.62448120117188,45.84016036987305,61.04070281982422,54.8824577331543,58.74831771850586,62.704345703125,55.30393981933594,32.73500061035156,35.75071334838867
2011-06-16,57.79770278930664,49.589839935302734,65.56275939941406,46.115238189697266,61.025001525878906,54.18622970581055,58.17928695678711,62.04521560668945,55.599998474121094,32.834999084472656,35.9764289855957
2011-06-17,58.2203369140625,49.91387176513672,65.40447998046875,46.33095169067383,61.16903305053711,54.56049346923828,57.75619125366211,61.760433197021484,56.111515045166016,33.13999938964844,36.23107147216797
2011-06-20,58.92074203491211,50.39387130737305,65.45034790039062,46.443016052246094,61.95359802246094,55.0129508972168,57.905792236328125,62.309566497802734,56.801513671875,33.30500030517578,36.416072845458984
