consumer_discretionary_avg,consumer_staples_avg,energy_avg,financials_avg,health_care_avg,industrials_avg,information_technology_avg,materials_avg,real_estate_avg,telecommunication_services_avg,utilities_avg
116.86583,88.48183,60.457092,75.40928,126.03463,93.37759,97.00307,96.099014,102.77196,51.871613,63.889126
117.09997,88.48429,60.53579,75.76595,126.34456,93.56206,97.0234,95.4867,102.61763,51.345238,63.639725
117.06766,88.16819,60.366585,75.27443,126.08591,93.33482,96.800964,95.9269,102.83605,51.415997,63.561092
116.84405,88.55156,60.207695,75.20292,125.83,93.14925,97.15639,95.93095,102.82566,51.814003,63.556793
117.12148,88.58987,60.533226,75.19105,125.95531,93.41739,97.3657,96.44179,103.30727,51.894753,63.77069
117.77535,88.637184,60.89725,75.856316,126.879395,93.60794,97.39015,96.332016,103.31243,51.378113,63.45147
117.846565,88.51711,60.663307,75.689026,126.82085,93.62901,97.33362,95.84258,102.96691,51.49848,63.622704
117.78544,88.465485,60.943493,75.35267,126.4442,93.54909,96.93282,95.799225,102.54143,51.24974,63.351143
117.55531,88.23704,60.99946,75.0545,126.504814,93.37266,96.91805,96.11415,102.7408,51.603752,63.597576
117.46809,88.12822,60.727867,75.06474,126.52786,93.59902,96.95361,96.02326,103.4063,51.338425,63.734863
117.79684,87.903275,61.16219,75.15338,126.92861,93.86986,96.76148,96.072655,103.558975,50.898552,63.577225
118.15862,88.221214,61.41353,75.83269,127.57532,93.86488,96.886765,95.8199,103.10159,50.605736,63.25109
118.485176,88.47517,61.309883,75.694336,127.35537,94.01093,97.05018,95.71908,102.96118,50.6857,63.147045
119.12617,88.80576,61.89869,76.388275,127.85509,94.19528,97.01449,95.28067,102.318375,50.12371,62.94282
119.157265,88.75118,62.234882,76.32379,128.11848,94.21669,96.96026,95.61168,102.40829,50.322426,63.073696
119.05421,88.61872,62.1646,76.36757,128.27544,94.382484,97.02173,95.62364,102.723076,50.229527,63.157513
119.15248,88.24387,62.007828,75.71527,128.01604,94.37375,96.84892,95.55549,102.75721,50.439823,63.219803
119.2644,88.56576,62.1077,75.92349,127.90329,94.18963,96.56176,95.05614,101.78222,49.89777,62.65947
119.1533,88.57578,62.562954,75.66792,127.59666,94.332954,96.5447,95.321396,101.90597,50.059395,62.885727
119.56246,88.27216,62.912598,76.3496,128.38148,94.46365,96.11107,94.81299,101.792496,49.166866,62.669193
119.804016,88.46884,62.811203,76.428276,128.58772,94.45664,95.79884,94.668434,101.56601,48.722313,62.39793
119.69956,88.42033,63.112335,76.00776,128.50012,94.4767,95.98469,95.152954,101.76296,49.277412,62.63328
119.56483,88.24136,63.001263,75.92287,128.51729,94.22365,95.911804,95.00485,101.445175,49.470295,62.53829
119.56592,88.37637,62.800613,76.39166,128.39445,94.128586,95.9276,94.077805,100.94968,48.61117,61.991085
119.38419,87.8939,62.679787,76.11861,127.7819,94.01781,95.76957,93.84029,100.936714,48.316147,61.54266
118.99379,88.170845,62.728855,76.59596,127.76738,93.78512,95.67347,93.6573,100.61728,47.988815,61.149143
118.44394,87.649055,62.704494,76.36919,127.738815,93.71359,95.77402,94.13612,101.257835,48.506073,61.47796
118.060005,87.644714,62.124023,76.387924,127.40445,93.329544,95.85011,94.01932,101.135284,48.85038,61.387093
118.4387,87.77433,62.260082,76.79141,127.452255,93.47753,95.85081,93.40888,100.74524,48.00007,60.870014
118.10372,87.72402,62.48504,76.974174,127.40076,93.30812,95.929535,93.63022,100.91541,47.98387,60.699997
118.1582,87.82331,62.78765,77.66873,127.976006,93.387344,96.25209,93.80188,101.38505,47.87377,61.03186
118.08859,87.78106,62.78997,77.815544,128.05508,93.576584,96.88745,94.216675,102.44501,48.30776,61.495007
118.32922,87.77851,62.772423,77.824326,127.96667,93.636375,97.13149,94.28647,102.59398,48.57974,61.656956
117.88263,86.8473,62.256653,76.63684,127.11069,92.89355,96.91684,93.74307,101.589294,49.58579,61.587574
117.06541,87.36025,61.7478,75.57391,125.20185,91.93758,96.160736,93.57401,99.71355,49.19825,60.05769
116.9593,86.61258,62.38462,74.8598,125.334755,91.829575,95.72423,93.86522,99.615746,49.89715,60.54482
115.659645,86.1524,61.359303,75.22441,124.81298,90.74524,94.61204,92.55417,98.37419,48.954273,59.7399
115.98925,86.190575,61.888924,74.937195,124.55622,91.142624,94.13762,92.82985,98.425766,47.982994,59.307056
116.02966,86.04246,62.313595,75.58852,125.56993,91.11546,94.256195,92.901306,98.972115,48.233116,60.077038
115.90124,85.97711,61.846138,75.60174,125.5757,91.343796,94.30609,92.72379,99.50822,47.868584,60.075413
116.16543,85.971695,61.78546,75.196335,125.36645,91.4883,94.59886,93.185684,99.812,48.354836,60.242115
116.43127,86.70464,62.382465,75.93913,125.907616,91.752884,94.84443,93.25681,99.84938,48.130627,60.338245
116.809006,87.01116,62.79982,76.179924,126.695404,92.34531,95.3999,94.55891,101.235016,48.777508,61.092087
117.03559,87.171425,62.507454,76.523964,127.327286,92.505295,96.16646,94.80728,102.082054,49.637882,61.87683
117.279724,87.41302,62.03003,76.31296,126.819756,92.5152,96.663635,94.56398,101.826,49.791977,61.520767
117.62558,87.70826,62.412975,76.102394,126.51464,92.3719,96.45983,94.92418,100.89224,49.715977,60.798386
117.48607,87.72798,63.104427,76.114044,126.88846,92.70621,96.70851,95.035614,101.4633,49.979782,61.31353
117.33222,87.096016,62.5801,75.53513,126.90747,92.507355,96.75893,95.28155,101.94393,50.59896,62.045296
117.26784,87.469826,62.275787,75.04661,126.20938,92.51807,96.63168,95.11458,101.55213,50.69059,61.784164
118.04266,87.36255,62.87413,75.365364,126.532455,92.75641,96.34922,94.795746,101.294205,50.035583,61.61555
117.7425,86.88708,62.958572,75.40362,126.73964,92.34152,95.51337,94.28584,100.27369,49.545895,61.006203
117.49817,86.52437,62.99296,74.62296,125.871056,92.116776,94.852165,94.1091,99.57251,49.251072,60.50287
118.14726,86.4366,63.742756,75.02709,126.81822,92.33947,94.31715,93.69127,99.155014,48.20075,60.15464
118.12237,86.10851,63.704834,75.20865,127.07953,92.1899,93.914055,93.13025,98.95264,47.66565,60.05356
118.25184,86.11411,63.885944,75.53586,126.96408,92.3242,93.95845,92.82484,99.01566,47.01165,59.687706
118.442184,85.670296,63.8883,75.38492,127.461685,92.31183,93.77736,92.351974,98.55876,47.04725,59.72626
117.905945,86.08138,63.06342,75.34875,126.761826,91.92677,93.77908,91.52005,97.66416,46.83327,59.17274
117.42843,86.01146,62.88057,75.33648,125.809204,91.67979,93.961075,91.27858,97.52495,46.80179,58.88512
116.844154,85.672615,62.734375,75.78144,125.80731,91.34329,93.82257,90.8299,97.441086,46.60013,58.75638
116.174355,85.40046,62.174313,75.41976,125.33544,91.127335,93.65138,91.0767,97.58717,46.96098,58.98451
115.93259,85.463356,62.231937,75.37464,125.07622,90.83631,93.67379,91.36912,97.7485,46.99323,58.942455
115.82556,85.327545,62.48754,75.1659,125.18392,91.02603,93.99016,91.997345,98.696976,47.44624,59.40743
116.056175,85.15166,62.329433,75.403465,125.55602,91.03567,94.2356,91.82317,98.94311,47.368523,59.529545
116.12687,85.133385,62.144127,74.77398,125.000015,90.983185,94.37404,91.71956,98.80707,47.55552,59.190403
