MO,ADM,BFB,CPB,CHD,KO,CL,CAG,STZ,COST,COTY,CVS,DPS,EL,GIS,HRL,SJM,K,KMB,KHC,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WMT,WBA,ALGN,DVA,EW,EVHC,HUM,IDXX,ILMN,ISRG,LH,MTD,REGN,COO,ZTS,AMT,CCI,DLR,EQIX,EXR,GGP,SBAC,VTR,AWK,DUK,NEE,SRE
62.81677,37.88558,-2.3124115,55.702312,82.42773,37.783592,65.833405,38.99608,142.54526,150.82758,24.853424,95.269104,87.0835,86.658104,54.21584,71.47764,123.276146,72.403946,123.33763,58.161865,43.372227,86.235176,83.357765,41.227417,125.302895,105.55478,94.38436,83.820076,43.28565,123.98209,94.128044,48.67519,70.45429,81.756256,60.81461,73.16692,79.35553,34.483196,163.44624,80.00286,166.45894,557.4009,115.4437,303.36917,419.9191,141.00595,47.317783,93.069664,88.22583,73.1886,295.49298,82.65031,30.53149,101.93066,63.257595,61.133263,83.201866,109.3687,99.11431
62.5536,37.25056,-2.4909594,55.544865,83.342964,37.68052,66.755974,38.504543,142.11028,150.8922,24.736483,94.59582,87.487144,85.51157,53.226433,71.32979,122.50507,71.290436,123.62232,55.15099,45.52613,86.742836,83.8279,40.396225,124.119385,106.071945,94.90026,85.28106,43.247227,124.54589,95.053085,48.29643,72.26029,81.74991,60.478767,74.18954,76.912056,34.18447,162.5733,83.79452,168.87857,564.8154,115.53815,303.90805,411.93723,142.56909,47.661884,92.61781,87.52703,73.051796,294.65305,81.4324,31.147846,102.90429,64.1823,61.737907,84.003555,110.60762,100.61821
62.385246,37.31961,-2.8037932,55.507004,82.95087,38.28858,67.1644,38.015644,140.85841,151.29582,25.007484,94.94882,87.10833,86.28286,52.502003,70.653496,122.92788,71.00007,124.02691,51.722595,46.918625,86.80661,83.88293,40.568317,123.478745,106.14886,95.23312,85.79468,42.6886,123.47226,94.35314,48.297394,73.4302,81.8461,60.951633,74.14117,76.05543,33.884735,163.24113,85.69161,170.81015,566.6643,115.489075,305.59964,411.91946,143.96068,47.609444,92.59781,88.005684,72.98037,295.0559,81.10301,31.41811,103.17791,64.91155,61.522217,84.921585,110.940765,100.32747
61.74823,38.635372,-3.0932658,55.44968,83.772285,39.293896,69.37743,37.618176,137.64299,151.70204,25.810406,95.16873,86.21775,87.055084,51.166576,69.113045,124.035385,70.297455,125.20538,44.084167,51.799133,87.22536,83.84699,40.619164,123.42898,107.217575,97.334854,88.27875,42.368954,121.70668,95.68279,47.625374,76.42601,82.77925,62.133274,77.181206,75.63188,35.087807,165.93875,92.025505,177.713,576.06726,116.55461,310.14798,409.80048,148.40552,47.920006,92.83124,89.58926,73.67175,294.49985,79.26608,32.092407,105.04846,67.91611,61.328003,87.33895,113.58213,101.87504
60.59324,37.744812,-3.1934206,56.074333,82.847946,40.532837,71.72035,37.196217,134.54565,151.76833,25.828712,93.132675,86.519295,87.26873,49.893078,68.39159,124.20121,70.47125,125.370186,39.058613,53.698433,87.4089,83.58364,41.667183,121.283875,106.45551,97.2278,89.82935,42.08491,122.09369,96.196236,46.836258,77.166405,80.28725,62.902363,77.41444,72.798805,33.607254,163.52834,96.67878,172.22038,581.2546,115.2808,310.82312,404.17078,147.67181,47.58995,93.1944,89.95387,75.42602,291.93692,77.60495,31.963215,103.479485,69.25303,60.951042,87.54013,113.39639,101.93633
56.227592,38.71182,-3.6600955,55.405823,81.73547,42.15996,74.710815,35.175846,123.16317,148.41396,26.690044,90.74962,82.71274,87.64352,47.072155,63.38018,124.014496,68.37335,124.350845,20.640099,63.023167,85.76866,81.822296,41.29077,115.16028,104.86431,98.710014,93.06557,39.87635,115.00998,97.02102,44.03945,81.4891,79.06688,63.23785,81.146675,67.84312,33.760185,161.95067,108.13965,175.93694,580.3303,113.711006,310.9517,389.6618,150.55663,47.75159,90.46478,91.07208,75.81559,281.38855,71.653534,31.792084,102.946815,73.956955,58.588978,90.24994,115.42934,101.09605
57.044075,39.060455,-3.6686423,55.503548,82.07501,42.2994,74.520935,35.438488,125.581436,149.78526,26.589666,91.408554,83.52899,87.40847,47.630672,64.435455,124.75904,68.95297,124.86837,22.477919,62.900097,86.360374,82.97833,40.83663,116.828804,105.6525,99.12671,92.6834,39.846523,116.12361,96.75146,44.788,81.48281,79.444626,63.036648,80.97774,68.39109,33.968994,163.31847,106.494026,176.6224,583.9123,114.633446,312.2233,392.99847,150.19029,48.026596,90.5249,90.94084,76.02034,284.58893,72.72751,32.136784,103.089836,73.52171,59.411774,90.46022,116.00407,101.554436
56.763832,39.698814,-3.8280375,55.313908,81.540985,43.11776,73.824615,34.81559,122.672035,148.09375,27.023003,92.48303,80.649536,87.97051,46.92767,63.016968,124.80291,67.80715,124.40102,18.96273,63.922913,85.779076,83.27667,41.3743,114.09895,104.8298,98.64977,92.56031,39.290394,113.39659,96.8654,44.867023,81.82166,80.564285,62.59626,80.08665,68.90461,33.357048,161.6823,107.026054,176.43356,568.4153,113.73087,310.22305,389.71198,150.52335,48.724968,89.91394,91.11809,76.05267,281.6073,71.673775,32.120205,102.906075,74.0533,58.201275,89.93262,116.01564,100.13889
56.356598,39.139565,-3.7504952,55.183,82.91152,42.063232,74.14833,35.480236,124.31371,148.88995,26.752422,91.44429,82.79024,87.16703,47.448566,63.553383,124.666374,68.60683,125.1733,20.298513,64.20036,86.05233,83.04592,40.671566,116.07503,105.82594,99.29959,93.54881,40.209747,115.43616,98.38672,44.262337,82.09434,79.73175,62.897892,82.03855,68.83483,34.436523,162.73454,108.763664,177.71161,581.87805,114.88513,312.57156,392.03735,151.7947,49.018444,90.65875,91.42702,75.701584,283.33914,72.099556,32.19724,104.415276,74.462006,59.22917,91.43858,115.89916,102.61128
56.24611,38.66434,-3.7762196,55.65943,81.80128,42.10732,73.6712,35.54254,124.009415,149.36436,27.14073,91.22449,82.97906,87.39922,47.427612,64.35511,125.11404,68.610306,126.13349,19.255636,63.47943,86.14686,83.33248,41.848255,115.73761,105.58899,98.86111,93.757576,40.2276,115.85068,97.98914,44.617954,81.48023,79.021324,63.594723,80.78423,68.036995,33.50923,162.34184,110.181465,176.17578,581.1575,114.07093,313.01532,393.78345,151.22685,48.92608,91.251686,91.74766,76.26872,283.70905,72.34178,32.353912,103.82456,74.16801,59.12628,91.02301,114.9621,102.53019
